"scientific_name","n_grids"
"Psittacula eupatria",1534
"Psittacula finschii",34
"Psittacula himalayana",184
"Psittacula krameri",3537
"Psittacula longicauda",35
"Psittacula roseata",50
"Psittiparus bakeri",25
"Psittiparus gularis",30
"Psittiparus ruficeps",12
"Pterocles alchata",5
"Pterocles exustus",596
"Pterocles indicus",249
"Pterocles orientalis",7
"Pterocles senegallus",16
"Pterorhinus albogularis",122
"Pterorhinus caerulatus",38
"Pterorhinus delesserti",59
"Pterorhinus galbanus",19
"Pterorhinus gularis",13
"Pterorhinus nuchalis",7
"Pterorhinus pectoralis",140
"Pterorhinus ruficollis",133
"Pterorhinus sannio",18
"Pterorhinus woodi",1
"Pteruthius aeralatus",75
"Pteruthius intermedius",1
"Pteruthius melanotis",70
"Pteruthius ripleyi",82
"Pteruthius rufiventer",45
"Pteruthius xanthochlorus",88
"Ptyonoprogne concolor",1515
"Ptyonoprogne rupestris",265
"Pucrasia macrolopha",90
"Puffinus bailloni",1
"Puffinus persicus",1
"Pycnonotus cafer",3895
"Pycnonotus flavescens",76
"Pycnonotus jocosus",1753
"Pycnonotus leucotis",552
"Pycnonotus luteolus",1119
"Pycnonotus striatus",93
"Pycnonotus xantholaemus",113
"Pyrrhocorax graculus",189
"Pyrrhocorax pyrrhocorax",226
"Pyrrhoplectes epauletta",36
"Pyrrhula aurantiaca",24
"Pyrrhula erythaca",20
"Pyrrhula erythrocephala",90
"Pyrrhula nipalensis",48
"Rallina canningi",20
"Rallina eurizonoides",97
"Rallina fasciata",1
"Rallus aquaticus",74
"Rallus indicus",21
"Recurvirostra avosetta",531
"Regulus regulus",112
"Remiz coronatus",13
"Rhinoptilus bitorquatus",7
"Rhipidura albicollis",516
"Rhipidura albogularis",763
"Rhipidura aureola",1055
"Rhodonessa caryophyllacea",2
"Rhodopechys sanguineus",1
"Rhodospiza obsoleta",3
"Rhyticeros narcondami",1
"Rhyticeros undulatus",54
"Riparia chinensis",735
"Riparia diluta",144
"Riparia riparia",222
"Rissa tridactyla",8
"Rostratula benghalensis",930
"Rubigula flaviventris",309
"Rubigula gularis",163
"Rynchops albicollis",92
"Salpornis spilonota",58
"Sarcogyps calvus",318
"Sarkidiornis melanotos",1195
"Saroglossa spilopterus",102
"Sasia ochracea",125
"Saxicola caprata",2648
"Saxicola ferreus",461
"Saxicola insignis",18
"Saxicola jerdoni",11
"Saxicola leucurus",73
"Saxicola macrorhynchus",70
"Saxicola maurus",2198
"Saxicola rubetra",2
"Schoenicola platyurus",38
"Schoenicola striatus",92
"Schoeniparus castaneceps",67
"Schoeniparus cinereus",42
"Schoeniparus dubius",33
"Schoeniparus rufogularis",15
"Scolopax rusticola",60
"Serilophus lunatus",48
"Serinus pusillus",181
"Sholicola albiventris",15
"Sholicola major",22
"Sibirionetta formosa",13
"Sitta cashmirensis",25
"Sitta castanea",300
"Sitta cinnamoventris",247
"Sitta formosa",22
"Sitta frontalis",432
"Sitta himalayensis",133
"Sitta leucopsis",65
"Sitta nagaensis",13
"Sitta yunnanensis",2
"Spatula clypeata",1506
"Spatula querquedula",1372
"Spelaeornis badeigularis",3
"Spelaeornis caudatus",19
"Spelaeornis chocolatinus",6
"Spelaeornis longicaudatus",6
"Spelaeornis oatesi",3
"Spelaeornis reptatus",1
"Spelaeornis troglodytoides",9
"Spilornis cheela",1598
"Spilornis elgini",24
"Spilornis klossi",5
"Spinus spinus",6
"Spinus thibetanus",23
"Spizixos canifrons",45
"Spodiopsar cineraceus",4
"Spodiopsar sericeus",1
"Stachyris humei",4
"Stachyris nigriceps",128
"Stachyris oglei",6
"Stachyris roberti",13
"Staphida castaniceps",86
"Stercorarius antarcticus",1
"Stercorarius longicaudus",1
"Stercorarius parasiticus",22
"Stercorarius pomarinus",8
"Sterna acuticauda",155
"Sterna aurantia",1840
"Sterna dougallii",4
"Sterna hirundo",242
"Sterna paradisaea",1
"Sterna sumatrana",30
"Sternula albifrons",516
"Sternula saundersi",17
"Streptopelia chinensis",3265
"Streptopelia decaocto",3153
"Streptopelia orientalis",1403
"Streptopelia senegalensis",3104
"Streptopelia tranquebarica",1789
"Streptopelia turtur",1
"Strix aluco",12
"Strix leptogrammica",259
"Strix nivicolum",53
"Strix ocellata",550
"Sturnia blythii",209
"Sturnia erythropygia",29
"Sturnia malabarica",1505
"Sturnia pagodarum",2774
"Sturnus vulgaris",359
"Sula dactylatra",28
"Sula leucogaster",4
"Sula sula",6
"Surniculus dicruroides",330
"Surniculus lugubris",165
"Suthora fulvifrons",11
"Suthora nipalensis",43
"Sylvia atricapilla",1
"Sylvia borin",3
"Sylviparus modestus",106
"Synoicus chinensis",23
"Syrmaticus humiae",2
"Syrrhaptes paradoxus",1
"Syrrhaptes tibetanus",29
"Taccocua leschenaultii",710
"Tachybaptus ruficollis",2515
"Tadorna ferruginea",1555
"Tadorna tadorna",174
"Taenioptynx brodiei",219
"Tarsiger chrysaeus",132
"Tarsiger cyanurus",7
"Tarsiger hyperythrus",35
"Tarsiger indicus",42
"Tarsiger rufilatus",237
"Tephrodornis pondicerianus",1815
"Tephrodornis sylvicola",143
"Tephrodornis virgatus",174
"Terpsiphone affinis",58
"Terpsiphone incei",4
"Terpsiphone paradisi",1808
"Tesia cyaniventer",128
"Tesia olivea",77
"Tetraogallus himalayensis",78
"Tetraogallus tibetanus",28
"Tetrax tetrax",5
"Thalasseus bengalensis",171
"Thalasseus bergii",128
"Thalasseus sandvicensis",74
"Threskiornis melanocephalus",2203
"Tichodroma muraria",255
"Tickellia hodgsoni",34
"Timalia pileata",85
"Todiramphus chloris",68
"Tragopan blythii",17
"Tragopan melanocephalus",8
"Tragopan satyra",23
"Tragopan temminckii",4
"Treron affinis",251
"Treron apicauda",121
"Treron bicinctus",260
"Treron chloropterus",35
"Treron curvirostra",118
"Treron phayrei",109
"Treron phoenicopterus",1939
"Treron sphenurus",222
"Tringa brevipes",3
"Tringa erythropus",794
"Tringa glareola",2087
"Tringa guttifer",1
"Tringa nebularia",1600
"Tringa ochropus",2182
"Tringa stagnatilis",1241
"Tringa totanus",1212
"Trochalopteron affine",42
"Trochalopteron austeni",8
"Trochalopteron chrysopterum",27
"Trochalopteron elliotii",1
"Trochalopteron erythrocephalum",141
"Trochalopteron imbricatum",9
"Trochalopteron lineatum",213
"Trochalopteron squamatum",53
"Trochalopteron subunicolor",24
"Trochalopteron variegatum",142
"Trochalopteron virgatum",21
"Troglodytes troglodytes",178
"Turdus albocinctus",125
"Turdus atrogularis",279
"Turdus boulboul",237
"Turdus cardis",2
"Turdus dissimilis",57
"Turdus eunomus",20
"Turdus feae",13
"Turdus kessleri",5
"Turdus mandarinus",1
"Turdus maximus",45
"Turdus naumanni",7
"Turdus obscurus",76
"Turdus philomelos",5
"Turdus pilaris",1
"Turdus rubrocanus",106
"Turdus ruficollis",78
"Turdus simillimus",432
"Turdus unicolor",356
"Turdus viscivorus",105
"Turnix suscitator",1050
"Turnix sylvaticus",100
"Turnix tanki",162
"Tyto alba",1072
"Tyto deroepstorffi",13
"Tyto longimembris",14
"Upupa epops",3001
"Urocissa erythroryncha",158
"Urocissa flavirostris",214
"Urosphena pallidipes",21
"Urosphena squameiceps",5
"Vanellus cinereus",459
"Vanellus duvaucelii",597
"Vanellus gregarius",7
"Vanellus indicus",3581
"Vanellus leucurus",325
"Vanellus malabaricus",1767
"Vanellus vanellus",165
"Xenus cinereus",236
"Yuhina bakeri",68
"Yuhina flavicollis",231
"Yuhina gularis",101
"Yuhina nigrimenta",101
"Yuhina occipitalis",48
"Yungipicus canicapillus",248
"Yungipicus nanus",906
"Zapornia akool",445
"Zapornia bicolor",39
"Zapornia fusca",449
"Zapornia parva",18
"Zapornia pusilla",397
"Zoonavena sylvatica",149
"Zoothera dauma",194
"Zoothera dixoni",52
"Zoothera marginata",30
"Zoothera mollissima",84
"Zoothera monticola",84
"Zoothera neilgherriensis",36
"Zoothera salimalii",12
"Zosterops erythropleurus",5
"Zosterops palpebrosus",2188
